 ,,,,,,,,,,,,,,,,,,,,,
,更新情况,,,,,产品,,,前端,,,,后端,,,,测试,,,,更新情况
140,已发布,紧急,,注册页面SEO图片替换,运营,Jay,需求任务已处理,2025-10-14,,,,,,,,,Marina,,,,2025-10-16
141,已发布,快速迭代,,落地页管理预览及APP用落地页项目仿商城样式同步修改,,Jay,需求任务已处理,2025-10-14,atman,开发完成,,,不需要,,,,"Carey, vivi",测试完成,,,2025-10-28
142,已发布,快速迭代,,落地页配置代投组等下拉增加搜索,运营,Jay,需求任务已处理,2025-10-15,atman,开发完成,,,不需要,,,,vivi,测试完成,,,2025-10-25
143,已发布,快速迭代,,落地页设置批量生成和配置,运营,Jay,需求任务已处理,2025-12-17,Erde,开发完成,,,Owen,开发完成,,,Carey,测试完成,,,2025-12-22
144,已发布,,,APK防报毒处理,运营,,,,,,,,,,,,,,,,
145,已发布,快速迭代,,给代投挑选样式的预览链接处理,运营,Jay,需求任务已处理,2025-10-15,atman,开发完成,,,Owen,开发完成,,,"Carey, vivi",测试完成,,,2025-10-28
146,已发布,快速迭代,,三方埋点编辑后自动触发打包,运营,Jay,需求任务已处理,2025-10-15,不需要前端,,,,Owen,开发完成,,,Michael,测试完成,,,2025-10-25
147,已发布,,,FB广告数据问题调整修改备案,,,,,,,,,,,,,,,,,2025-10-16
148,已发布,10.23版本,,修复轮播图预览异常,10.16发现提出,Jay,需求任务已处理,2025-10-16,Darrel,开发完成,2025-10-16,2025-10-16,,,,,Marina,,,,2025-10-22
149,已发布,快速迭代,,三级代理模式投注返佣比例增加游戏大类区分配置,10.16提出，正常排,Jay,需求任务已处理,2025-10-25,Erde,开发完成,,,Len,开发完成,,,Michael,测试完成,,,2025-11-7
150,已发布,10.23版本,,会员排行榜，代理排行榜增加会员作弊添加流水,10.16提出，期望尽快落实（一周左右）,Jay,需求任务已处理,2025-10-17,atman,,,,Len,开发完成,,,"Carey, Marina",,,,2025-10-22
151,暂不处理,,,运营要求后台-消息管理-定制化弹窗 这里的弹窗频率“每次登陆”修改成“每次打开”时弹窗,待需求175效果,Jay,需求处理中,,,,,,,,,,Carey,-,,,
152,已发布,快速迭代,,新增AR钱包提现,期望尽快,Porter,需求任务已处理,2025-10-23,Erde,开发完成,,,Len,开发完成,,,Michael,测试完成,,,2025-10-30
153,已发布,,,修改移除arupi中Phonepe唤醒时候的倒计时弹窗,尽快改,,,,Erde,,,,,,,,Michael,,,,
154,已发布,快速迭代,,洗码功能调整并增加到VIP功能中去调节,10.16提出，正常排,Jay,需求任务已处理,2025-10-21,Darrel,开发完成,,,Len,开发完成,,,vivi,测试完成,,,2025-10-22
155,已发布,,,后台计算登陆的方式调整,影响数据统计了。。。,Jay,需求任务已处理,2025-10-17,,,,,Owen,,,,Michael,,,,2025-10-17
156,已发布,紧急,,调整注册完成事件为服务端事件,10.17提出，需要及时完成，确保投放统计，改完验收后加量,Jay,需求任务已处理,2025-10-18,,,,,Damon,,,,Michael,,,,2025-10-18
157,已发布,10.23版本,,弹窗强弹的修改及部分调整（快速上线部分）,10.17提出，期望加急,Jay,需求任务已处理,2025-10-20,Seven,开发完成,,,,,,,Marina,测试完成,,,2025-10-22
158,已发布,快速迭代,,红包雨活动,10.17提出，正常排,Porter,需求任务已处理,2025-11-01,"Alex, Seven",开发完成,,,Len,开发完成,,,Marina,测试完成,,,2025-12-25
159,已发布,10.23版本,,JILI游戏在H5&PWA全屏的时候需要有返回,,Jay,需求任务已处理,2025-10-14,,,,,,,,,Michael,,,,2025-10-22
160,已发布,10.23版本,, y1新版面首页的游戏区域应该是两栏布局，左边的滑动不能影响右边的，反之同理 ,,Jay,需求任务已处理,2025-10-20,Erde,,,,,,,,"Carey, Marina",测试完成,,,2025-10-22
161,已发布,10.23版本,,Promotion&工单首页的返回按钮作用调整为返回首页而不是上一个路由,,Jay,需求任务已处理,2025-10-20,Erde,-,,,,,,,Marina,测试完成,,,2025-10-22
162,已发布,10.23版本,,累充转盘图标更换,,Jay,需求任务已处理,2025-10-20,Seven,开发完成,,,,,,,Marina,测试完成,,,2025-10-22
163,已发布,10.23版本,,"6001-RA9-印度 维护群
提现锁定
提现金额与总次数查询框内引导文字顺序反了，需要调换一下。",,Jay,需求任务已处理,2025-10-21,atman,,,,,,,,Marina,测试完成,,,2025-10-22
164,已发布,快速迭代,,"6001-RA9-印度 维护群
 出款详情：帮忙加上 IFSC",,Porter,需求任务已处理,2025-10-23,Darrel,开发完成,,,不需要,,,,Marina,测试完成,,,2025-10-28
165,已发布,快速迭代,,6001-RA9-印度 维护群  提现出款--添加一项（加下客户绑定的银行信息， 方便出款的时候核对检查 IFSC）,,Porter,需求任务已处理,2025-10-23,Darrel,开发完成,,,不需要,,,,Marina,测试完成,,,2025-10-28
166,已发布,10.23版本,,"提现订单：是否首提， 如果 是的话 这个 ""是"" 能不能标红明显一些",,Jay,需求任务已处理,2025-10-21,atman,,,,,,,,Marina,测试完成,,,2025-10-22
167,已发布,10.23版本,,提现锁定 :提现总次数 如果是 0的话 也麻烦帮忙标红 让明显一些,,Jay,需求任务已处理,2025-10-21,atman,,,,,,,,Marina,测试完成,,,2025-10-22
168,已发布,快速迭代,,幸运加倍礼金活动,,Jay,需求任务已处理,2025-11-24,"Justin, Darrel",开发完成,,,"Gavin, vance, alan",开发完成,,,Marina,测试完成,,,2025-12-25
169,已发布,快速迭代,,提现超时赔付活动,正常排,Porter,需求任务已处理,2025-11-12,Justin,开发完成,,,Damon,开发完成,,,Carey,测试完成,,,2025-12-11
170,已发布,快速迭代,,进入厂商后的二级页面调整,,Jay,需求任务已处理,2025-11-06,Alex,,,,,,,,Marina,测试完成,,,2025-11-15
171,已发布,快速迭代,,6001-RA9-印度--需求：会员列表新增邀请码搜索功能,,Jay,需求任务已处理,2025-10-21,Darrel,开发完成,,,Len,开发完成,,,Marina,测试完成,,,2025-10-28
172,暂不处理,,,"6001-RA9-印度 维护群 运营需求活动报表，需要把每一个活动彩金细分出来统计,回归福利、回归礼包、惊喜礼包,所有每一项彩金，独立统计",,Jay,,,,,,,,,,,Marina,,,,
173,暂不处理,,,6001-RA9-印度 维护群 经济系统日报里面也是，每一项彩金都需要独立出来，比如这里的充值礼包是分为回归礼包和惊喜礼包2种的,,Jay,,,,,,,,,,,Carey,,,,
174,暂不处理,,,礼包页面可新增“可领取彩金中心”模块,活动中心合并了,Jay,,,,,,,,,,,Carey,,,,
175,暂不处理,,,调整登陆时机变的更加符合用户实际场景,,,,,,,,,,,,,Michael,,,,
176,已发布,快速迭代,,充值页面图片展示需要根据充值次数配置化,,Jay,需求任务已处理,2025-11-01,Justin,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-11-07
177,已发布,10.23版本,,修复游戏报表RTP小数点后两位异常都是.00,,Jay,需求任务已处理,2025-10-21,,,,,Damon,,,,Marina,测试完成,,,2025-10-22
178,已发布,快速迭代,,充值礼包中礼包金额为0的前端表现调整,,Jay,需求任务已处理,2025-10-22,Erde,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-10-28
179,已发布,10.23版本,,ARUPI成功率提升支持-订单继续支付逻辑变更,,Jay,需求任务已处理,2025-10-21,,,,,Len,,,,Michael,,,,2025-10-22
180,暂不处理,,,工单列表导出，导出工单提交项信息即可,,,暂不修改,,,,,,,,,,,,,,
181,已发布,10.23版本,,平台SaaS-6001-报表管理-每日游戏报表查询条件异常,,Jay,需求任务已处理,2025-10-22,,,,,,,,,Carey,,,,2025-10-22
182,已发布,快速迭代,,部分报表需要增加排序字段,,Porter,需求任务已处理,2025-10-23,Erde,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-10-28
183,已发布,,,RA9-需求前台注册提示,,,,,Seven,开发完成,,,,,,,Marina,测试完成,,,2025-10-23
184,已发布,快速迭代,,ARUPI收银台页面样式调整,,Jay,需求任务已处理,2025-10-23,Peggy,开发完成,,,不需要,,,,Michael,测试完成,,,2025-10-25
185,已发布,快速迭代,,数据分析/分包分析总览字段公式调整,,Jay,需求任务已处理,2025-10-23,Darrel,开发完成,,,Owen,,,,vivi,测试完成,2025-10-24,2025-10-24,2025-10-25
186,已发布,快速迭代,,ARUPI已有订单弹窗逻辑调整,,Jay,需求任务已处理,2025-10-24,Erde,开发完成,,,Len,开发完成,,,Michael,测试完成,,,2025-10-25
187,已发布,快速迭代,,"6001-RA9-印度 维护群
充值通道 - 充值大类（添加多选类型）",,Jay,需求任务已处理,2025-10-28,Justin,开发完成,,,Gavin,开发完成,,,Marina,测试完成,,,2025-10-30
188,暂不处理,,,"运营要求 工单替换文字内容： Submit bug reports
Possibility to get  bonus ",其他问题里的默认文字调整下,Jay,暂不修改,2025-10-24,,,,,不需要,,,,Marina,,,,
189,已发布,快速迭代,,6001-RA9-后台充值通道信息复制优化,,Jay,需求任务已处理,2025-10-25,Darrel,开发完成,,,Gavin,开发完成,,,Marina,测试完成,,,2025-10-30
190,暂不处理,,,"运营要求:将所有的活动增加可配置 同IP限制 以及 同设备ID限制，当设备超出配置的次数则无法参与活动 , 提示 : 您的账号不符合领取奖金条件)",,,暂不修改,,,,,,,,,,,,,,
191,已发布,快速迭代,,"运营需求：提现锁定
提现出款添加显示三方代付多次    每一次回调记录  都记录一下  可查询
这样好溯源问题，提升效率",,Porter,需求任务已处理,2025-10-24,Erde,开发完成,,,不需要,,,,Marina,测试完成,,,2025-10-28
192,暂不处理,,优化落地页配置流程,把Facebook像素归因、服务端埋点记录明细、渠道来源管理、落地页管理、应用打包管理，这五项整合起来形成一个新的功能，方便后续作业操作。,运营,Jay,暂不修改,,,,,,,,,,,,,,
193,已发布,快速迭代,,后台增加站点SEO配置,,Jay,需求任务已处理,2025-10-24,Seven,开发完成,,,Owen,开发完成,,,Michael,测试完成,,,2025-10-28
194,已发布,快速迭代,,弹窗强弹及相关功能优化,,Jay,需求任务已处理,2025-10-24,"Darrel, Justin",开发完成,,,Owen,,,,Michael,测试完成,,,2025-11-1
195,已发布,快速迭代,,充值页面没有更新余额问题修复,,Jay,需求任务已处理,2025-10-25,Peggy,开发完成,,,不需要,,,,Marina,测试完成,,,2025-10-28
196,已发布,快速迭代,,"6001-RA9-印度 维护群
会员列表--需要添加：注册设备、注册IP",,Jay,需求任务已处理,2025-10-28,Darrel,开发完成,,,andy,开发完成,,,Marina,测试完成,,,2025-10-31
197,已发布,快速迭代,,ARUPI充值接口更换数据加密以及部分接口调整,,Jay,需求任务已处理,2025-10-25,Peggy,开发完成,,,Len,开发完成,,,Michael,测试完成,,,2025-10-28
198,已发布,快速迭代,,会员详情备注信息用红色加粗显示,,Jay,需求任务已处理,2025-10-25,Erde,开发完成,,,不需要,,,,vivi,测试完成,,,2025-10-28
199,已发布,快速迭代,,充值大类下拉数据带上前台显示名称,,Jay,需求任务已处理,2025-10-25,Justin,开发完成,,,Gavin,开发完成,,,Marina,测试完成,,,2025-10-30
200,已发布,快速迭代,,关闭自动注册配套调整,非常紧急,Jay,需求任务已处理,2025-10-30,atman,,,,,,,,Michael,,,,2025-10-30
201,已发布,快速迭代,,轮播图&定制化轮播图&活动咨询&定制化弹窗等位置处关于充值条件的目标合并,非常紧急,Jay,需求任务已处理,2025-10-30,Darrel,开发完成,,,Owen,开发完成,,,vivi,测试完成,,,2025-11-3
202,已发布,快速迭代,,邀请转盘分享界面的修改&活动,非常紧急,Jay,需求任务已处理,2025-10-31,"Justin, Erde",开发完成,,,Damon,开发完成,,,Marina,测试完成,,,2025-11-7
203,已发布,快速迭代,,"6001-RA9-印度 维护群
运营要求把注册页面的OTP Login的颜色改成和右侧的忘记密码一样的颜色和字体。底部的一条竖线需要处理",,Jay,需求任务已处理,2025-10-30,atman,开发完成,,,不需要,,,,Michael,测试完成,,,2025-11-1
204,已发布,快速迭代,,关闭自动注册对应处理运营需求整合版,,Jay,需求任务已处理,2025-10-31,"atman, Seven",开发完成,,,"Len, Owen",,,,Michael,测试完成,,,2025-11-1
205,已发布,快速迭代,,数据分析总览底部增加均值和总计,,Jay,需求任务已处理,2025-11-03,atman,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-11-7
206,已发布,快速迭代,,在PWA&APP中所有三方游戏厂商进行游戏的需要保持顶部栏,,Jay,需求任务已处理,2025-11-03,"atman, June",开发完成,,,,,,,vivi,测试完成,,,2025-11-7
207,已发布,快速迭代,,通用消息-定制化弹窗增加查询条件,,Jay,需求任务已处理,2025-11-03,Darrel,开发完成,,,Owen,开发完成,,,vivi,测试完成,,,2025-11-7
208,已发布,快速迭代,,优化显示内容（要求一个单词不要分两行进行显示，例如：already前台显示就分了两行）,,Jay,需求任务已处理,2025-11-04,atman,开发完成,,,,,,,vivi,测试完成,,,2025-11-12
209,已发布,快速迭代,,去除前台（访客登录未启用）提示语,,Jay,需求任务已处理,2025-11-04,atman,开发完成,,,,,,,vivi,,,,2025-11-4
210,已发布,快速迭代,,增加一个未登录用户的弹窗,,Jay,需求任务已处理,2025-11-04,Darrel,开发完成,,,Owen,开发完成,,,Michael,测试完成,,,2025-11-15
211,已发布,,,运营反馈：前台提交工单需要上传图片的位置，三个上传图片的位置点击均没有反应，麻烦处理一下 ,,,需开发排查,,,,,,,,,,vivi,测试完成,,,2025-11-5
212,已发布,快速迭代,,"6001-RA9-印度 维护群
运营要求把前台站内信彩金消息里面的Money改成Cash",,Jay,需求任务已处理,2025-11-05,atman,开发完成,,,,,,,vivi,测试完成,,,2025-11-7
213,已发布,快速迭代,,ARUPI收银台调整,,Jay,需求任务已处理,2025-11-05,Justin,开发完成,,,不需要,,,,Michael,测试完成,,,2025-11-15
214,已发布,快速迭代,,优化修复token过期后导致余额等不能正常显示的问题,,Jay,需求任务已处理,2025-11-05,Erde,开发完成,,,,,,,vivi,测试完成,,,2025-11-7
215,已发布,快速迭代,,"6001-RA9-印度 维护群
运营反馈未登录前 转盘整体画质模糊，需要进行优化（如下对比图）
优化转盘清晰度",,Jay,需求任务已处理,2025-11-10,Seven,开发完成,,,,,,,Carey,测试完成,,,2025-11-15
216,已发布,快速迭代,,"6001-RA9-印度 维护群
APK包的封面图需要换一版更有质感的，符合版面风格的。",UI设计运营已确认,Jay,需求任务已处理,2025-11-18,June,开发完成,,,,,,,vivi,测试完成,,,2025-12-11
217,已发布,快速迭代,,"6001-RA9-印度 维护群
运营需求菜单栏里VIP的黄色框这块需要UI优化一下，需要设计得更加精美尊贵感，目前的没有VIP的感觉，显示VIP等级的图标也要美化一下，整体要和VIP活动界面风格匹配",UI设计已完成,Porter,需求任务已处理,2025-11-11,Justin,开发完成,,,,,,,Carey,测试完成,,,2025-11-15
218,已发布,快速迭代,,"6001-RA9-印度 维护群
APK包，32和64位的，去掉需要手动登录提示框",,Jay,需求任务已处理,2025-11-10,atman,开发完成,,,,,,,Carey,测试完成,,,2025-11-15
219,已发布,快速迭代,,"6001-RA9-印度 维护群
登陆注册调整",登陆注册流程完整调整,Brand,需求任务已处理,2025-11-10,"atman, Erde",开发中,,,Owen,开发完成,,,"Michael, Carey",测试完成,,,2025-11-15
220,已发布,快速迭代,,"6001-RA9-印度 维护群
推送通知的权限允许---无论是否有登录 ----需求刚打开APP就弹出来",UI链接在需求内,Jay,需求任务已处理,2025-11-10,June,开发完成,,,,,,,vivi,测试完成,,,2025-12-11
221,已发布,,,"6001-RA9-印度 维护群
APK包侧边滑动条优化（右侧有一条缝隙，需要去除）
测试使用机型;三星S21",测试确认中,Jay,,,June,开发完成,,,,,,,Carey,测试完成,,,2025-11-12
222,已发布,快速迭代,,运营反馈后台“充值订单”页面的列间距不能缩小，运营希望能够自由调整,,Porter,需求任务已处理,2025-11-10,Justin,开发完成,,,,,,,Carey,测试完成,,,2025-11-15
223,已发布,,,"6001-RA9-印度 维护群
前台显示优化（首页游戏分类上下滑有一条黑线，需要去掉）
测试使用机型：iPhone 12",测试确认中,Jay,,,June,开发完成,,,,,,,Carey,测试完成,,,2025-11-12
224,已发布,快速迭代,,首页浮窗设置，列表增加生效时间、跳转类型,,Porter,需求任务已处理,2025-11-10,Justin,开发完成,,,不需要,,,,Marina,测试完成,,,2025-11-15
225,已发布,快速迭代,,前台首页 充值按钮增加 充值赠送彩金 金额提示,,Porter,需求任务已处理,2025-11-11,Justin,开发完成,,,Damon,开发完成,,,Marina,测试完成,,,2025-11-15
226,已发布,快速迭代,,三方游戏统一上维护&厂商及游戏维护状态显示,,Jay,需求任务已处理,2025-11-13,Darrel,开发完成,,,Owen,开发完成,,,Carey,测试完成,,,2025-12-19
227,暂不处理,,,运营反馈有时候PWA包上方会显现域名，运营希望将域名给隐藏,,,,,,,,,,,,,,,,,
228,已发布,快速迭代,,前台-首页-充值，充值按钮增加 首充、次充、三充赠送彩金提示（Max修改成 Bonus） ,直接改文案,Porter,需求任务已处理,2025-11-15,,,,,,,,,Marina,测试完成,,,2025-11-15
229,已发布,快速迭代,,前台-首页-浮窗（浮窗现在是登陆才看得到，未登录看不到，改成不管有没有登陆都看得到） ,去掉登录校验的逻辑,Porter,需求任务已处理,2025-11-15,atman,开发完成,,,Gavin,开发完成,,,Marina,测试完成,,,2025-11-26
230,已发布,快速迭代,,后台-首页浮窗配置，去掉图片尺寸大小限制，只保留1:1的比例和3M的限制（后台文案要改）,后台文案要改,Porter,需求任务已处理,2025-11-15,,,,,,,,,Marina,测试完成,,,2025-11-15
231,已发布,快速迭代,,首页加载黑屏问题优化,,Jay,需求任务已处理,2025-11-15,,,,,,,,,Carey,测试完成,,,2025-11-15
232,已发布,快速迭代,,调整未注册用户点击Home回到首页,,Jay,需求任务已处理,2025-11-15,,,,,,,,,Carey,测试完成,,,2025-11-17
233,已发布,快速迭代,,代理返佣配置是否自动领取,,Jay,需求任务已处理,2025-11-15,Erde,开发完成,,,Len,开发完成,,,Michael,测试完成,,,
234,已发布,快速迭代,,FIREBASE统计增加基础字段,,Jay,需求任务已处理,2025-11-20,June,开发完成,,,Gavin,开发完成,,,vivi,测试完成,,,2025-12-11
235,已发布,快速迭代,,手动领取模式下代理佣金领取强引导,,Jay,需求任务已处理,2025-11-21,Erde,开发完成,,,Len,开发完成,,,Michael,测试完成,,,2025-12-11
236,已发布,快速迭代,,后台操作ARgame余额可回收到平台,,Jay,需求任务已处理,2025-11-21,不需要前端,,,,Gavin,开发完成,,,Carey,测试完成,,,2025-11-26
237,已发布,快速迭代,,SAAS后台部分报表样式优化,,Porter,需求任务已处理,2025-11-22,Erde,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-11-26
238,已发布,快速迭代,,游客退出逻辑调整,,Jay,需求任务已处理,2025-11-24,Justin,开发完成,,,Owen,开发完成,,,vivi,测试完成,,,2025-12-3
239,已发布,快速迭代,,游戏厂商管理及子游戏管理分类配置优化,,Brand,需求任务已处理,2025-11-27,Darrel,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-12-3
240,已发布,快速迭代,,热门游戏配置内容调整,,Jay,需求任务已处理,2025-11-28,Darrel,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-12-3
241,已发布,快速迭代,,saas后台部分查询条件优化,,Brand,需求任务已处理,2025-11-29,atman,开发完成,,,Len,开发完成,,,Marina,测试完成,,,2025-12-19
242,已发布,快速迭代,活动管理,新活动【每日签到】,,Porter,需求任务已处理,2025-12-04,atman,开发完成,,,vance,开发完成,,,Carey,测试完成,2025-12-15,2025-12-29,2025-12-31
243,已发布,快速迭代,活动管理,【活动中心】改造,,Porter,需求任务已处理,2025-12-12,"Erde, Justin",开发完成,,,Owen,开发完成,,,Michael,测试完成,,,2025-12-31
244,已发布,快速迭代,活动管理,新活动（每日每周任务）,,Brand,需求任务已处理,2025-12-04,"Justin, Erde",开发完成,,,"Owen, alan",开发完成,,,vivi,测试完成,2025-12-12,2025-12-29,2025-12-31
245,已发布,,,商户后台新账号二维码扫描信息调整,,Jay,需求任务已处理,2025-12-05,Erde,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-12-6
246,已发布,快速迭代,,极光推送对接,,Jay,需求任务已处理,2025-12-06,June,开发完成,,,Len,开发完成,,,Michael,测试完成,2025-12-19,2025-12-31,2026-01-07
247,已发布,快速迭代,,优惠券功能调整,,Jay,需求任务已处理,2025-12-06,June,开发完成,,,Gavin,开发完成,,,Marina,测试完成,,,2025-12-19
248,已发布,快速迭代,,游戏排序功能调整,,Jay,需求任务已处理,2025-12-08,Darrel,开发完成,,,Gavin,开发完成,,,Carey,测试完成,,,2025-12-19
249,已发布,快速迭代,运营管理,后台消息管理，部分页面列表字段调整,,Porter,需求任务已处理,2025-12-08,Erde,开发完成,,,不需要,,,,vivi,测试完成,,,2025-12-11
250,已发布,快速迭代,,新版面洗码功能,,Jay,需求任务已处理,2025-12-09,Peggy,开发完成,,,Len,开发完成,,,vivi,测试完成,,,2025-12-23
251,已发布,快速迭代,,新版面超级大奖界面,,Jay,需求任务已处理,2025-12-10,Erde,开发完成,,,Owen,开发完成,,,Michael,测试完成,,,2025-12-19
252,已发布,快速迭代,,周月卡功能,,Jay,需求任务已处理,2025-12-13,Justin,开发完成,,,"Len, alan",开发完成,,,Marina,测试完成,2025-12-24,2025-12-29,2025-12-31
253,已发布,快速迭代,,新版面锦标赛界面,,Jay,需求任务已处理,2025-12-17,Alex,开发完成,,,,,,,Michael,测试完成,,,2025-12-25
254,已发布,快速迭代,报表管理,新增两张报表（每日用户数据、多日用户数据）,,Brand,需求任务已处理,2025-12-16,Darrel,开发完成,,,vance,开发完成,,,Marina,测试完成,,,2025-12-25
255,已发布,快速迭代,活动管理,活动资讯，新增富文本（不跳转）类型,产品验收完成，等待发版,Porter,需求任务已处理,2025-12-16,Erde,开发完成,,,Owen,开发完成,,,Michael,测试完成,,,2025-12-19
256,已发布,快速迭代,,增加游戏厂商及子游戏映射功能,,Jay,需求任务已处理,2025-12-16,Seven,开发完成,,,Gavin,开发完成,,,Carey,测试完成,,,2025-12-19
257,已发布,快速迭代,,ARUPI支付加入对方返回得快捷金额处理,,Jay,需求任务已处理,2025-12-16,Peggy,开发完成,,,Len,开发完成,,,Michael,测试完成,,,2025-12-19
258,已发布,快速迭代,,充提通道新增方式调整,,Jay,需求任务已处理,2025-12-19,Justin,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-12-22
259,已发布,快速迭代,,经典充值模式首二三充专属优惠配置,,Jay,需求任务已处理,2025-12-20,June,开发完成,,,"Owen, Gavin",开发完成,,,vivi,测试完成,,,2025-12-25
260,已发布,快速迭代,活动管理,富文本不跳转 支持图片自适应,,Porter,需求任务已处理,2025-12-22,Erde,开发完成,,,,,,,Michael,测试完成,,,2025-12-23
261,已发布,快速迭代,,增加任务完成数量的角标展示,,Brand,需求任务已处理,2025-12-22,Justin,开发完成,,,Owen,开发完成,,,vivi,测试完成,,,2025-12-31
262,已发布,,活动管理,活动中心改造  二期,UI图已出，可开发,Porter,需求任务已处理,2025-12-22,Justin,开发完成,,,Owen,开发完成,,,Michael,测试完成,,,2025-12-31
263,已发布,快速迭代,,会员组合标签,,Jay,需求任务已处理,2025-12-22,June,开发完成,,,vance,开发完成,,,Marina,测试完成,2025-12-28,2026-1-2,2026-01-07
264,已发布,快速迭代,,前端两项内容调整,,Jay,需求任务已处理,2025-12-23,Erde,开发完成,,,,,,,Carey,测试完成,,,2025-12-23
265,已发布,快速迭代,,游戏映射相关调整,,Jay,需求任务已处理,2025-12-23,"Seven, Peggy",开发完成,,,Gavin,开发完成,,,Carey,测试完成,,,2025-12-25
266,-,快速迭代,,92版面Saas化,,Jay,需求任务已处理,2025-12-23,Erde,开发完成,,,Gavin,开发完成,,,"vivi, Carey",测试完成,2025-12-23,2026-1-2,
267,已发布,快速迭代,,VIP配置处洗码需要支持设置小数点后两位,,Jay,需求任务已处理,2025-12-24,Justin,开发完成,,,,,,,Marina,测试完成,,,2025-12-25
268,,,,6003-AR777 需求：注册方式与短信配置逻辑优化,已出图，可以进行开发,Brand,需求任务已处理,2025-12-24,"Erde, Seven",开发中,,,Owen,开发完成,,,vivi,,,,
269,已发布,快速迭代,,充值转盘显示方式和RA9保持一致,,Jay,需求任务已处理,2025-12-24,Seven,开发完成,,,不需要,,,,Carey,测试完成,,,2025-12-26
270,已发布,快速迭代,,亏损救援金-活动标题展示优化,UI图已出，可安排开发,Porter,需求任务已处理,2025-12-24,Erde,开发完成,,,,,,,Michael,测试完成,,,2025-12-25
271,已发布,快速迭代,,首页浮窗增加  弱打扰功能,,Porter,需求任务已处理,2025-12-24,Erde,开发完成,,,不需要,,,,Marina,测试完成,,,2025-12-26
272,已发布,快速迭代,,经典模式充值ARUPI快捷金额使用调整,,Jay,需求任务已处理,2025-12-25,Peggy,开发完成,,,Len,开发完成,,,Michael,测试完成,,,2025-12-26
273,已发布,快速迭代,,邀请转盘满足提现时的弹窗逻辑优化,可直接开发,Porter,需求任务已处理,2025-12-25,Seven,开发完成,,,不需要,,,,Carey,测试完成,,,2025-12-26
274,已发布,快速迭代,,VIP界面0的显示处理,,Jay,需求任务已处理,2025-12-25,Darrel,开发完成,,,不需要,,,,Carey,测试完成,,,2025-12-27
275,已发布,快速迭代,,运营要求VIP需要展示出提现手续费率,,Jay,需求任务已处理,2025-12-26,,,,,Owen,开发完成,,,Carey,测试完成,,,2025-12-27
276,已发布,快速迭代,,提现页面调整明确展示提现手续费,,Jay,需求任务已处理,2025-12-26,Erde,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-12-26
277,已发布,快速迭代,,每日每周优化需求,,Brand,需求任务已处理,2025-12-27,Erde,开发完成,,,Owen,,,,vivi,测试完成,2025-12-29,2025-12-29,2025-12-31
278,已发布,快速迭代,,充值教程视频展示增加判断,,Jay,需求任务已处理,2025-12-31,Justin,开发完成,,,,,,,Marina,测试完成,2025-12-31,2025-12-31,2025-12-31
279,已发布,快速迭代,活动管理-亏损救援金,亏损救援金-活动配置-选择子游戏增加全部选项,可直接开发,Porter,需求任务已处理,2025-12-31,Justin,开发完成,,,,,,,Michael,测试完成,,,2026-1-7
280,SIT已更新,,前台-活动中心,前台-活动中心 改造 三期,可直接开发,Porter,需求任务已处理,2026-01-01,Justin,开发完成,,,Owen,开发完成,,,Michael,系统测试,,,
281,,快速迭代,,充值礼包新增目标用户,,Jay,需求任务已处理,2026-01-02,Erde,开发完成,,,Owen,开发完成,,,Marina,系统测试,,,
282,SIT已更新,快速迭代,活动管理-亏损救援金,亏损救援金-前端代码优化+二期优化,已提测，测试可介入,Porter,需求任务已处理,2026-01-02,"Alex, Erde",开发完成,,,,,,,Michael,测试完成,,,
283,,快速迭代,活动管理-每日签到,每日签到-前端代码优化,开发中,Porter,需求任务已处理,2026-01-02,Alex,开发完成,,,,,,,Carey,系统测试,,,
284,SIT已更新,快速迭代,活动中心,活动中心增加 开启消息推送 引导功能,可开发,Porter,需求任务已处理,2026-01-05,Justin,开发完成,,,Owen,开发完成,,,Michael,测试准备中,,,
285,,快速迭代,,优惠券前端代码优化+BUG修复,,Jay,需求任务已处理,2026-01-02,Alex,开发中,,,,,,,Marina,,,,
286,,快速迭代,,新版CF功能改造,,Jay,需求任务已处理,2026-01-05,Darrel,联调,,,"vance, alan",,,,Michael,,,,
287,,,活动中心,前台-活动中心 入口排序优化,产品方案需调整,Porter,需求处理中,2026-01-06,,,,,,,,,Michael,,,,
288,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,
